,description,eye_color,hair_color,sex
7216,"A serious looking tanned white man with short black hair, brown eyes and a chiseled jaw line",,,
7217,"A dark skinned man with black eyes, large nostrils, a large mouth and thin lips. He has short grey hair and has some wrinkles on his forehead.",,,
7218,A young Asian woman with a very pronounced jawline and cheekbones. She has black hair which is tied back tightly and is wearing makeup.,,,
7219,A young woman with dark- hair combed backwards and big dark eyes. Her cheekbones are well-defined. Her nose is small and her lips are full. Her lips are painted in a shade of brown. She looks very serious.,,,
7220,"A young woman with short hair, dark eyes, a small nose and thin lips",,,
7221,"An Asian person with short, dark-brown hair, a flat, wide nose, prominent cheeks and a smile.",,,
7222,A Korean-looking woman with short hair combed backwards. Her eyes are small and her nose is a little wide. Her lips are thin and they are slightly parted. Her upper teeth are visible.,,,
7223,"A smiling aging Asian woman with short brown hair, brown eyes and a wide nose",,,
7224,"A pale man with short, curly ginger hair, blue eyes, a slightly wide nose and a squarish face with soft features.",,,
7225,A middle-aged man with chestnut-coloured curly hair. His eyebrows are somewhat bushy and they are chestnut in colour. He has got bright blue eyes. His lips are small and they are slightly parted.,,,
7226,"A grinning aging white man with short curly brown hair, blue eyes and a large nose",,,
7227,An old man with medium-length grey hair combed bakwards and small eyes. His nose is small and his lips are thin. A stubble beard is growing around his lips.,,,
7228,An elderly man with grey hair speaking into a microphone,,,
7229,A young lady with voluminous brown hair parted in the middle. Her eyes are brown and there is black make-up around them. Her lips are painted with lipgloss. The look on the girl's face is serious. She is wearing a necklace.,,,
7230,"A serious looking tanned white woman with long wavy brown hair, brown eyes",,,
7231,"A man with a large droopy nose, thin lips, black slit-eyes and a smooth complexion. He is clean-shaven and is smiling.",,,
7232,this man has short black hair and glasses on his head. his eyebrows are rounded and his eyes are small. he has a pointed nose and thin lips and a beard,,,
7233,"A woman with long, brunette hair and a wide nose. She is smiling and has a prominent chin.",,,
7234,"A young woman with a narrow chin, full cheeks, long nose, and a happy toothy smile.",,,
7235,"A young woman with long hair, dark eyes, a big nose and thin lips",,,
7236,"A man with longish, tied-back hair, a thin nose and bushy eyebrows. He has a thin nose, a strong jaw and some stubble.",,,
7237,A young man with hair combed back. His eyes are small and his lips are thin. A stubble beard is growing on his upper lip and along his jaw. He looks quite serious,,,
7238,A young man with long hair which is tied backwards,,,
7239,A middle-aged man with short dark hair and arched eyebrows. He is smiling. Around his lips there is a stubble beard growing.,,,
7240,"A man with short hair, dark eyes, pointed nose and thin lips",,,
7241,this man has black hair. his brows are bushy and his eyes are almond-shaped. he is wearing square-shaped glasses and his nose is flared and his lips are thin,,,
7242,"A tanned woman with brown hair, pointed eyebrows, brown eyes, a slender and pointed nose, and thin lips.",,,
7243,"A man with a large chin, a shaved stubble, thin lips and a large nose. He has slit-eyes and short black hair.",,,
7244,"A man with short, dark-brown hair, very bushy eyebrows, a large nose, thin lips, a cleft chin and a wide smile.",,,
7245,"A man with short hair, dark eyes, a small nose, a big forehead and thin lips",,,
7246,"A man with a large face, a large nose and thick lips. She has small black slit-eyes and short grey hair. He is clean-shaven and has large ears.",,,
7247,A young Chinese-looking man with short dark hair. Some of it is styled as spiky. His eyes are dark and small. His lips are heart-shaped and he is smiling softly. He has got sideburns,,,
7248,"A young man with gelled hair, dark eyes, a small nose and thin lips",,,
7249,"A middle-aged man with an olive complexion, a button nose, thin lips and small eyes. He has wrinkles around his eyes and on his forehead. He is smiling and has dimples.",,,
7250,"An olive-skinned woman with a square-shaped face, glossy jet-black hair, a side fringe and radiant skin. She has thick eyebrows, brown almond-shaped eyes, a straight nose, a small mouth, full lips and plump cheeks.",,,
7251,"A man with short, light-brown, receding hair, sideburns, a large forehead, a pointed nose and a wide smile.",,,
7252,"A young man with short hair, dark eyes, a pointed nose, big ears and thin lips",,,
7253,"A tanned man with a rectangular face, a strong jaw, a large chin, a small nose, narrow eyes, bushy eyebrows and a large forehead. His hair is short, dark-brown and spiked up.",,,
7254,A young man with short dark-coloured hair. His eyebrows are dark and bushy. His eyes are small and they are blue. His lips seem very thin and his upper teeth are visible. A stubble beard is growing. The man has got a square jaw.,,,
7255,"A smiling white man with short brown hair, blue eyes and a chiseled jawline",,,
7256,"A boy with a square-shaped face, an upturned nose, thin lips and slit-eyes. He has gelled hair, has a baby face and is smiling.",,,
7257,"this man has short brown hair, straight eyebrows and small eyes. his nose is button-shaped and his lips are thin",,,
7258,"A man with short, brown hair, fair skin with red hues, a strong jaw, full lips and a stubble beard.",,,
7259,A young man with short brown hair and small light-coloured eyes. His lips are somewhat thick and he is smiling. A beard is growing on his face. His skin tone seems to be somewhat suntanned,,,
7260,"A young man with short hair, blue eyes, a pointed nose, small ears and thin lips",,,
7261,"A young black woman with sculpted eyebrows and makeup. She has wavy brunette hair and a round, contoured face.",,,
7262,A black woman with wavy long brown hair,,,
7263,"An elderly balding man with an oblong face, white hair and smooth skin. He has brown slit eyes, a slim nose, prominent nostrils, plump cheeks, thin lips and a protruding chin. He is smiling and wearing glasses.",,,
7264,"A smiling white woman with long blonde hair, brown eyes and a long nose",,,
7265,"A man with a square-shaped face, thin lips and elongated black eyes. He has short black hair and is clean-shaven. He is smiling and has dimples.",,,
7266,"this man has messy short brown hair, his eyebrows are round and his eyes are small, his nose is big and his lips are thin , he also has a beauty spot on his cheek",,,
7267,"A woman with full lips and tanned skin. She has a thin nose and long, wavy, dark-brown hair.",,,
7268,"A young woman with long wavy brown hair. She looks tanned. Her eyes are small, her nose is straight and her lips are thick.  Her lips are slightly parted and her front teeth are visible.",,,
7269,"A focused tanned white woman with long wavy hair, brown eyes and thick lips",,,
7270,"A woman with large cheeks, thin lips, large brown eyes and defined black eyebrows. She has long, straight black hair and is wearing makeup.",,,
7271,"A man with a very chubby face, long dark hair which is gathered and dark eyes. He has a messy beard and long thick eyebrows.",,,
7272,A chubby young man with dark-coloured hair combed backwards. His eyebrows are somewhat thick and his eyes are dark-coloured. His lips are thin and they are pressed together. A stubble beard is growing on his face while a beard is growing along his jaw.,,,
7273,"A fat, white man with brown hair and a brown beard",,,
7274,"A woman with a tanned complexion, radiant skin and glossy dark blonde hair. She has a large forehead, thin eyebrows, sparkly eyes, a straight nose, plump cheeks, full glossy lips and a prominent chin. She is smiling.",,,
7275,A middle-aged woman with straight blonde hair and big dark eyes. There is dark make-up around her eyes. Her nose is somewhat big and her lips are thick and they're painted red. She is smiling,,,
7276,A blonde woman with big eyes and a big nose,,,
7277,"A woman with long wavy blonde hair, dark eyes and full red lips.",,,
7278,"A serious looking white woman with long wavy blonde hair, brown eyes and red lips",,,
7279,"A pale man with, short, grey, receding hair, a plump face and thin lips. He has no eyebrows and a slightly weak chin.",,,
7280,A middle-aged man with short grey hair and smal eyes. His complexion is very pale. His lips are parted and his lower teeth are visible. He seems to be angry.,,,
7281,A confused looking pale white man with short greying-black hair brown eyes and is a bit chubby,,,
7282,"A tanned woman with long, curly, light-brown hair. She has an upturned nose and full lips.",,,
7283,A young woman with curly brown hair and dark eyes with dark make-up around them. Her nose is small and her lips are thick and they're painted red. She looks serious,,,
7284,"A woman with an elongated face, a short button nose, golden wavy hair and large eyes. He is wearing lipstick and eyeliner. She has a smooth, tanned complexion.",,,
